id;time;elev;tree_nr;branch_nr;leaf_nr;bhd;chewing;mining;burrowing;fungi;deformed;whole;img_id;abio_dam;destroyed 
13_01_01;10:20:00 AM;1300;1;1;1;36;1;;1;;;;IMG_4725;;17.5
13_01_02;10:20:00 AM;1300;1;1;2;36;1;;1;;;;IMG_4726;;
13_01_03;10:20:00 AM;1300;1;1;3;36;;;;;;1;IMG_4729;;
13_01_04;10:20:00 AM;1300;1;1;4;36;;1;;;;;IMG_4730;1;
13_01_05;10:20:00 AM;1300;1;1;5;36;1;1;1;;;;IMG_4732;;
13_01_06;10:20:00 AM;1300;1;2;6;36;1;1;;1;;;IMG_4733;;
13_01_07;10:20:00 AM;1300;1;2;7;36;1;1;1;;;;IMG_4734;;
13_01_08;10:20:00 AM;1300;1;2;8;36;;1;1;;;;IMG_4735;;
13_01_09;10:20:00 AM;1300;1;2;9;36;1;1;1;1;;;IMG_4736;;
13_01_10;10:20:00 AM;1300;1;2;10;36;1;1;1;;;;IMG_4738;;
13_02_11;10:40:00 AM;1300;2;1;11;15;1;;1;;;;IMG_20210611_103452.jpg;1;
13_02_12;10:40:00 AM;1300;2;1;12;15;1;;;;;;IMG_20210611_103506.jpg;1;
13_02_13;10:40:00 AM;1300;2;1;13;15;;;1;;;;IMG_20210611_103642.jpg;1;
13_02_14;10:40:00 AM;1300;2;1;14;15;;;;;;1;IMG_20210611_103706.jpg;;
13_02_15;10:40:00 AM;1300;2;1;15;15;1;1;;;;;IMG_20210611_103801.jpg;;
13_02_16;10:40:00 AM;1300;2;2;16;15;;;;;;1;IMG_20210611_103826.jpg;;
13_02_17;10:40:00 AM;1300;2;2;17;15;;;;;1;;IMG_20210611_103916.jpg;1;
13_02_18;10:40:00 AM;1300;2;2;18;15;;1;;;;;IMG_20210611_103924.jpg;1;
13_02_19;10:40:00 AM;1300;2;2;19;15;;;;;;1;IMG_20210611_103951.jpg;1;
13_02_20;10:40:00 AM;1300;2;2;20;15;1;;1;;;;IMG_20210611_104035.jpg;1;
13_03_21;10:40:00 AM;1300;3;1;21;10;;;1;;;;IMG_4739;1;
13_03_22;10:40:00 AM;1300;3;1;22;10;1;;1;;;;IMG_4740;1;
13_03_23;10:40:00 AM;1300;3;1;23;10;1;;;;;;IMG_4741;;
13_03_24;10:40:00 AM;1300;3;1;24;10;;;1;;;;IMG_4742;;
13_03_25;10:40:00 AM;1300;3;1;25;10;1;;;;;;IMG_4743;1;
13_03_26;10:40:00 AM;1300;3;2;26;10;;1;1;;;;IMG_4744;1;
13_03_27;10:40:00 AM;1300;3;2;27;10;;;;;;1;IMG_4745;1;
13_03_28;10:40:00 AM;1300;3;2;28;10;1;1;1;;;;IMG_4746;1;
13_03_29;10:40:00 AM;1300;3;2;29;10;;1;1;;;;IMG_4748;1;
13_03_30;10:40:00 AM;1300;3;2;30;10;;;1;;;;IMG_4749;1;
13_04_31;10:40:00 AM;1300;4;1;31;6.3;1;1;1;;;;IMG_4750;1;
13_04_32;10:40:00 AM;1300;4;1;32;6.3;1;1;;;1;;IMG_4751;1;
13_04_33;10:40:00 AM;1300;4;1;33;6.3;;;;;;1;IMG_4752;;
13_04_34;10:40:00 AM;1300;4;1;34;6.3;1;1;1;;;;IMG_4753;;22.5
13_04_35;10:40:00 AM;1300;4;1;35;6.3;1;1;1;;;;IMG_4754;1;
13_04_36;10:40:00 AM;1300;4;2;36;6.3;1;1;1;;;;IMG_4755;1;
13_04_37;10:40:00 AM;1300;4;2;37;6.3;1;;1;;;;IMG_4758;;
13_04_38;10:40:00 AM;1300;4;2;38;6.3;1;1;1;;;;IMG_4759;1;
13_04_39;10:40:00 AM;1300;4;2;39;6.3;1;;;;;;IMG_4760;1;
13_04_40;10:40:00 AM;1300;4;2;40;6.3;1;;1;;;;IMG_4761;1;
11_01_41;11:00:00 AM;1150;1;1;41;9;1;;1;;;;IMG_4763;;
11_01_42;11:00:00 AM;1150;1;1;42;9;1;;1;;;;IMG_4764;;
11_01_43;11:00:00 AM;1150;1;1;43;9;1;;1;;;;IMG_4765;;
11_01_44;11:00:00 AM;1150;1;1;44;9;1;;1;;;;IMG_4767;;
11_01_45;11:00:00 AM;1150;1;1;45;9;1;;1;;;;IMG_4768;;
11_01_46;11:00:00 AM;1150;1;2;46;9;;;1;1;;;IMG_4769;;
11_01_47;11:00:00 AM;1150;1;2;47;9;1;;1;;;;IMG_4770;;
11_01_48;11:00:00 AM;1150;1;2;48;9;1;;1;1;1;;IMG_4771;;32.5
11_01_49;11:00:00 AM;1150;1;2;49;9;1;;1;;;;IMG_4772;;
11_01_50;11:00:00 AM;1150;1;2;50;9;1;1;1;;;;IMG_4773;;
11_02_51;11:00:00 AM;1150;2;1;51;28;1;;1;;1;;IMG_20210611_110520.jpg;;55
